Time Stamp, Send Size Total
188292,0
188513,0
188734,0
188955,0
189176,0
189397,0
189618,0
189839,0
190060,0
190281,0
190502,0
190723,0
190944,0
191165,0
191386,0
191607,0
191828,0
192049,0
192270,0
192491,0
192712,0
192933,0
193154,0
193375,0
193596,0
193817,0
194038,0
194259,0
194480,0
194701,0
194922,0
195143,0
195364,0
195585,0
195806,0
196027,0
196248,0
196469,0
196690,0
196911,0
197132,0
197353,0
197574,0
197795,0
198016,0
198237,0
198458,0
198679,0
198900,0
199121,0
199342,0
199563,0
199784,0
200005,0
200226,0
200447,0
200668,0
200889,0
201110,0
201331,0
201552,0
201773,0
201994,0
202215,0
202436,0
202657,0
202878,0
203099,0
203320,0
203541,0
203762,0
203983,0
204204,0
204425,0
204646,0
204867,0
205088,0
205309,0
205530,0
205751,0
205972,0
206193,0
206414,0
206635,0
206856,0
207077,0
207298,0
207519,0
207740,0
207961,0
208182,0
208403,0
208624,0
208845,0
209066,0
209287,0
209508,0
209729,0
209950,0
210171,0
210392,0
210613,0
210834,0
211055,0
211276,0
211497,0
211718,0
211939,0
212160,32712
212381,48159
212602,49204
212823,47544
213044,50399
213265,51707
213486,47429
213707,52141
213928,10866
214149,11207
214370,1179
214591,845
214812,845
215033,845
215254,845
215475,10094
215696,1029
215917,858
216138,1029
216359,857
216580,9293
216801,10359
217022,16667
217243,9347
217464,12776
217685,14020
217906,8620
218127,10505
218348,8728
218569,13821
218790,12370
219011,14640
219232,12020
219453,13243
219674,8611
219895,13400
220116,13109
220337,9382
220558,12596
220779,12067
221000,12993
221221,9091
221442,11176
221663,10289
221884,11647
222105,11621
222326,14100
222547,15809
222768,12384
222989,16014
223210,13634
223431,15635
223652,11877
223873,12311
224094,13631
224315,9819
224536,14145
224757,15873
224978,17465
225199,12779
225420,14585
225641,8384
225862,15173
226083,10337
226304,12141
226525,13490
226746,17331
226967,13726
227188,11098
227409,14567
227630,13166
227851,9851
228072,12906
228293,12277
228514,10924
228735,16212
228956,13497
229177,16460
229398,13001
229619,16033
229840,10466
230061,12716
230282,11263
230503,17421
230724,16782
230945,16339
231166,13346
231387,7741
231608,13676
231829,17118
232050,10205
232271,12593
232492,14814
232713,9584
232934,13556
233155,14320
233376,9491
233597,9813
233818,13882
234039,10042
234260,4410
234481,2870
234702,1697
234923,2443
235144,1730
235365,18320
235586,2914
235807,8747
236028,12030
236249,7415
236470,12158
236691,10830
236912,6518
237133,11343
237354,8407
237575,7288
237796,7609
238017,3959
238238,9384
238459,12095
238680,10735
238901,14560
239122,24679
239343,16419
239564,9129
239785,18733
240006,20690
240227,12606
240448,10915
240669,10958
240890,14950
241111,13117
241332,6479
241553,8632
241774,12222
241995,12128
242216,18594
242437,18134
242658,25011
242879,17677
243100,22459
243321,21719
243542,9848
243763,9040
243984,368
244205,0
244426,0
244647,0
244868,0
245089,42467
245310,53724
245531,54861
245752,55379
245973,46280
246194,17189
246415,26441
246636,10318
246857,5814
247078,1067
247299,12734
247520,21707
247741,3139
247962,0
248183,0
248404,0
248625,0
248846,68587
249067,92108
249288,87905
249509,18513
249730,834
249951,1002
250172,1002
250393,40211
250614,30693
250835,9543
251056,1116
251277,17187
251498,17680
251719,24972
251940,27110
252161,32492
252382,38402
252603,32369
252824,1383
253045,35506
253266,63585
253487,41051
253708,1050
253929,825
254150,981
254371,490
254592,981
254813,981
255034,817
255255,981
255476,41651
255697,15438
255918,9416
256139,9179
256360,4255
